,link
0,https://www.realmaster.com/en/toronto-on/45-carlton-st/1409-church-yonge-corridor-TRBC5089098?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44
1,https://www.realmaster.com/en/toronto-on/33-charles-st-e/2802-church-yonge-corridor-TRBC5097998?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44
2,https://www.realmaster.com/en/toronto-on/24-ryewood-dr/glenfield-jane-heights-TRBW5098757?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44
3,https://www.realmaster.com/en/toronto-on/284-bloor-st-w-st-w/803-annex-TRBC5090904?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44
4,https://www.realmaster.com/en/toronto-on/80-harrison-garden-blvd/723-willowdale-east-TRBC5089041?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44
5,https://www.realmaster.com/en/toronto-on/150-east-liberty-st/1110-niagara-TRBC5080371?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44
6,https://www.realmaster.com/en/toronto-on/6-berkindale-dr/ave-st-andrew-windfields-TRBC4958894?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44
7,https://www.realmaster.com/en/toronto-on/30-old-mill-rd/512-kingsway-south-TRBW5079313?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44
8,https://www.realmaster.com/en/toronto-on/10-park-lawn-rd/1007-mimico-TRBW5074358?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44
9,https://www.realmaster.com/en/toronto-on/121-trudelle-st/1112-eglinton-east-TRBE5074636?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44
10,https://www.realmaster.com/en/toronto-on/5-hanna-ave/647-niagara-TRBC5099649?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44
11,https://www.realmaster.com/en/toronto-on/109-front-st-e/1105-moss-park-TRBC5090175?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44
12,https://www.realmaster.com/en/toronto-on/21-iceboat-ter/1909-waterfront-communities-c1-TRBC4913483?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44
13,https://www.realmaster.com/en/toronto-on/160-flemington-rd/613-yorkdale-glen-park-TRBW5098195?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44
14,https://www.realmaster.com/en/toronto-on/4-tapley-dr/willowridge-martingrove-richview-TRBW5095005?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44
15,https://www.realmaster.com/en/toronto-on/11-ivy-lea-cres/stonegate-queensway-TRBW5069341?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44
16,https://www.realmaster.com/en/toronto-on/324-beechgrove-dr/west-hill-TRBE5094992?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44
