,link
0,https://www.realmaster.com/en/toronto-on/4091-sheppard-ave-e/1008-agincourt-south-malvern-west-TRBE5061202?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
1,https://www.realmaster.com/en/toronto-on/151-village-green-sq/907-agincourt-south-malvern-west-TRBE4988153?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
2,https://www.realmaster.com/en/toronto-on/8-eglinton-ave-e/2908-mount-pleasant-west-TRBC4969586?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
3,https://www.realmaster.com/en/toronto-on/87-peter-st/1018-waterfront-communities-c1-TRBC5063399?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
4,https://www.realmaster.com/en/toronto-on/365-church-st/702-church-yonge-corridor-TRBC4971444?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
5,https://www.realmaster.com/en/toronto-on/40-church-st/weston-TRBW5065820?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
6,https://www.realmaster.com/en/toronto-on/22-sparrow-ave/yorkdale-glen-park-TRBW5071469?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
7,https://www.realmaster.com/en/toronto-on/78-castlebury-cres/8-bayview-woods-steeles-TRBC4991592?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
8,https://www.realmaster.com/en/toronto-on/935a-islington-ave/stonegate-queensway-TRBW4880540?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
9,https://www.realmaster.com/en/toronto-on/21-iceboat-ter/3503-waterfront-communities-c1-TRBC5067099?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
10,https://www.realmaster.com/en/toronto-on/390-dixon-rd/1503-kingsview-village-the-westway-TRBW5068974?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
11,https://www.realmaster.com/en/toronto-on/203-oakmount-rd/high-park-north-TRBW5066537?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
12,https://www.realmaster.com/en/toronto-on/8-trent-ave/1204-east-end-danforth-TRBE4986611?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
13,https://www.realmaster.com/en/toronto-on/52-forest-manor-rd/1202-henry-farm-TRBC5057950?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
14,https://www.realmaster.com/en/toronto-on/736-spadina-ave/1608-university-TRBC4997746?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
15,https://www.realmaster.com/en/toronto-on/825-church-st/2508-rosedale-moore-park-TRBC4991208?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
16,https://www.realmaster.com/en/toronto-on/65-st-mary-st/2006-bay-street-corridor-TRBC4912721?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
17,https://www.realmaster.com/en/toronto-on/68-winston-park-blvd/54-downsview-roding-cfb-TRBW5058474?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
18,https://www.realmaster.com/en/toronto-on/740-kennedy-rd/22a-ionview-TRBE5068858?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
19,https://www.realmaster.com/en/toronto-on/23-glebe-rd-w/914-yonge-eglinton-TRBC4985950?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
20,https://www.realmaster.com/en/toronto-on/295-clinton-st/palmerston-little-italy-TRBC4953318?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
21,https://www.realmaster.com/en/toronto-on/197-yonge-st/2911-church-yonge-corridor-TRBC4898786?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
22,https://www.realmaster.com/en/toronto-on/15-sydnor-rd/bayview-woods-steeles-TRBC5070480?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
23,https://www.realmaster.com/en/toronto-on/47-lower-river-st/334-waterfront-communities-c8-TRBC5059276?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
24,https://www.realmaster.com/en/toronto-on/1-neighbourhood-ln/106-stonegate-queensway-TRBW4960678?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
25,https://www.realmaster.com/en/toronto-on/1-neighbourhood-ln/507-stonegate-queensway-TRBW4960671?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
26,https://www.realmaster.com/en/toronto-on/19-barberry-pl/401-bayview-village-TRBC5003243?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
27,https://www.realmaster.com/en/toronto-on/65-harbour-sq/1006-waterfront-communities-c1-TRBC4982287?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
