,link
0,https://www.realmaster.com/en/toronto-on/2220-lake-shore-blvd-w/307-mimico-TRBW5060200?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7
1,https://www.realmaster.com/en/toronto-on/275-village-green-sq/3425-agincourt-south-malvern-west-TRBE5085954?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7
2,https://www.realmaster.com/en/toronto-on/88-grangeway-ave/2601-woburn-TRBE5076000?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7
3,https://www.realmaster.com/en/toronto-on/250-manitoba-st/512-mimico-TRBW5060425?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7
4,https://www.realmaster.com/en/toronto-on/181-village-green-sq/921-agincourt-south-malvern-west-TRBE5082331?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7
5,https://www.realmaster.com/en/toronto-on/25-town-centre-crt/3210-bendale-TRBE4985607?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7
6,https://www.realmaster.com/en/toronto-on/20-tubman-ave/2602-regent-park-TRBC5090135?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7
7,https://www.realmaster.com/en/toronto-on/155-beecroft-rd/ph212-lansing-westgate-TRBC5082208?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7
8,https://www.realmaster.com/en/toronto-on/1-massey-sq/2611-crescent-town-TRBE5082802?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7
9,https://www.realmaster.com/en/toronto-on/131-torresdale-ave/102-westminster-branson-TRBC4922783?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7
10,https://www.realmaster.com/en/toronto-on/8-park-rd/ph3602-rosedale-moore-park-TRBC5088931?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7
11,https://www.realmaster.com/en/toronto-on/89-dunfield-ave/2105-mount-pleasant-east-TRBC5085254?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7
12,https://www.realmaster.com/en/toronto-on/39-marlee-ave/forest-hill-north-TRBC5095178?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7
13,https://www.realmaster.com/en/toronto-on/200-sackville-st/207-regent-park-TRBC4951723?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7
14,https://www.realmaster.com/en/toronto-on/96-evelyn-wiggins-dr/york-university-heights-TRBW5081011?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7
15,https://www.realmaster.com/en/toronto-on/72-esther-shiner-blvd/2315-bayview-village-TRBC5081668?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7
16,https://www.realmaster.com/en/toronto-on/17-eaton-park-ln/16-lamoreaux-TRBE5087955?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7
