,link
0,https://www.realmaster.com/en/toronto-on/10-navy-wharf-crt/2112-waterfront-communities-c1-TRBC5080769?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
1,https://www.realmaster.com/en/toronto-on/48-mcroberts-ave/corso-italia-davenport-TRBW5084818?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
2,https://www.realmaster.com/en/toronto-on/49-dragonfly-cres/rouge-e11-TRBE5083638?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
3,https://www.realmaster.com/en/toronto-on/190-hastings-ave/south-riverdale-TRBE5083324?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
4,https://www.realmaster.com/en/toronto-on/33-stag-hill-dr/oconnor-parkview-TRBE5082196?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
5,https://www.realmaster.com/en/toronto-on/229-newton-dr/newtonbrook-east-TRBC5085640?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
6,https://www.realmaster.com/en/toronto-on/22-frankish-ave/little-portugal-TRBC5082097?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
7,https://www.realmaster.com/en/toronto-on/93-grey-rd/bedford-park-nortown-TRBC4990910?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
8,https://www.realmaster.com/en/toronto-on/38-old-mill-ter/stonegate-queensway-TRBW5086981?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
9,https://www.realmaster.com/en/toronto-on/88-corporate-dr/2411-woburn-TRBE5086171?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
10,https://www.realmaster.com/en/toronto-on/2301-danforth-ave/525-east-end-danforth-TRBE5082938?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
11,https://www.realmaster.com/en/toronto-on/275-manse-rd/58-west-hill-TRBE5080488?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
12,https://www.realmaster.com/en/toronto-on/510-king-st-e/ph817-moss-park-TRBC5053512?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
13,https://www.realmaster.com/en/toronto-on/30-nelson-st/1209-waterfront-communities-c1-TRBC4933301?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
14,https://www.realmaster.com/en/toronto-on/85-queens-wharf-rd/4007-waterfront-communities-c1-TRBC4913612?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
15,https://www.realmaster.com/en/toronto-on/11-distin-ave/mimico-TRBW4989121?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
16,https://www.realmaster.com/en/toronto-on/42-mcgrath-crt/centennial-scarborough-TRBE5087577?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
17,https://www.realmaster.com/en/toronto-on/19-hunt-club-dr/birchcliffe-cliffside-TRBE5083617?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
18,https://www.realmaster.com/en/toronto-on/839-ellesmere-rd-e/dorset-park-TRBE5079746?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
19,https://www.realmaster.com/en/toronto-on/105-the-queensway-ave/2616-high-park-swansea-TRBW5082010?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
20,https://www.realmaster.com/en/toronto-on/60-town-centre-crt/1701-bendale-TRBE5085330?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
21,https://www.realmaster.com/en/toronto-on/5-valhalla-inn-rd/2305-islington-city-centre-west-TRBW5058579?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
22,https://www.realmaster.com/en/toronto-on/180-markham-rd/204-scarborough-village-TRBE5084061?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
23,https://www.realmaster.com/en/toronto-on/361-front-st/3209-waterfront-communities-c1-TRBC5077826?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
24,https://www.realmaster.com/en/toronto-on/650-sheppard-ave-e/ph13-bayview-village-TRBC5076460?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
25,https://www.realmaster.com/en/toronto-on/250-wellington-st/ph44-waterfront-communities-c1-TRBC4926015?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
26,https://www.realmaster.com/en/toronto-on/1301-dupont-st/dovercourt-wallace-emerson-junction-TRBW5064630?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
27,https://www.realmaster.com/en/toronto-on/565-delaware-ave-n/wychwood-TRBC5054203?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
28,https://www.realmaster.com/en/toronto-on/31-battenberg-ave-n/woodbine-corridor-TRBE5085313?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
29,https://www.realmaster.com/en/toronto-on/125-peter-st/1910-waterfront-communities-c1-TRBC5084537?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69
30,https://www.realmaster.com/en/toronto-on/181-dundas-st-e/4101-church-yonge-corridor-TRBC5066550?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=65
31,https://www.realmaster.com/en/toronto-on/181-dundas-st-e/4311-church-yonge-corridor-TRBC4986849?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=65
32,https://www.realmaster.com/en/toronto-on/26-trolley-cres/206-moss-park-TRBC4978466?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=65
33,https://www.realmaster.com/en/toronto-on/111-bathurst-st/903-waterfront-communities-c1-TRBC4949351?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=65
34,https://www.realmaster.com/en/toronto-on/250-westmoreland-ave/dovercourt-wallace-emerson-junction-TRBW5088363?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=65
