,title,MLS ID,transaction_type,home_type,level,first day on market,last day on market,sold_price,list_price,bedrooms,bathrooms,den,sqft,exposure,parking,locker,maintanance fee,description,link,address
0,20 John St S 1023 | Apartment Sold Price,C4965250,sold,Residential Apartment,10,20201023,20210111,"505,000","510,000",1,1,0,0-499,S,None,None,290.56,"Great Opportunity To Own This Tridel Designer Loft With Great Views Of The Cn Tower &amp; Rogers Centre! Leed Certified Building! 10' Ceilings &amp; Floor To Ceiling Windows. Steps Away From Path, Streetcar/Subway, Union Station, Grocery, Lcbo, Restaurants, Shops, Cn Tower, Rogers Centre &amp; Scotiabank Arena! Amazing Amenities Including Resort Style Rooftop Pool &amp; Private Cabanas &amp; Bbq, Gym, Yoga Room, Spinning Room, Hot Tub, Theatre Room &amp; Party Room! 24-Hr Concierge B/I Microwave, Smooth Cooktop Oven, Range Hood, Dishwasher &amp; Fridge; Stacked Washer/Dryer, Existing Light Fixtures &amp; Window Coverings; Some Existing Furniture Is For Sale.""",https://www.realmaster.com/en/toronto-on/20-john-st-s/1023-waterfront-communities-c1-TRBC4965250?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1,"1023 20 John St S, Toronto, Ontario, M5V0G5"
1,488 University Ave 4012 | Apartment Sold Price,C4949305,sold,Residential Apartment,23,20201010,20201230,"825,000","855,000",1,1,1,600-699,W,None,None,477.86,"Stunning Brand New,Never Lived In 1 Bed+Den.Prime Location With Direct Access To St-Patrick Subway Station.High-End Kitchen With Quartz Counter Tops &amp; Integrated Appl. Wood Flr Throughout. W/I Closet With Organizers In Bedroom.Spa Like Bathroom With Free Standing Tub, Glass-Enclosed Shower &amp; Marble Flooring.Breathtaking Lake &amp; City Views. Close To Major Hospitals,Eaton Centre,Queen's Park.5 Star Amenities Incl 24Hr Concierge,Pool &amp; Exercise Room! High-End Appliances, Digital Shower Control, Washer/Dryer, All Upgraded Light Fixtures, Custom Blinds, 2 Breakfast Bar Stools.""",https://www.realmaster.com/en/toronto-on/488-university-ave/4012-university-TRBC4949305?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1,"4012 488 University Ave, Toronto, Ontario, M5G0C1"
2,120 Harrison Garden Blvd 720 | Apartment Sold Price,C4944987,sold,Residential Apartment,7,20201007,20210111,"400,000","419,000",0,1,0,0-499,E,Owned,Owned,380.17,"Tridel Luxury Building In Avonshire Community. Functional Open Concept Layout Studio Unit. 9Ft Ceiling With Big Balcony. Modern Kitchen With Built-In Stainless Steel Appliances. 4Pc Baths. Laminate Floor. 1 Parking, 1 Locker. The Best Public School. Amenities: Hot And Cold Plunge Pools, Urban Spa And Fitness, Yoga/Spinning Studio, Steam And Sauna Room, Party Room, Billiards And Lounge. Complimentary Shuttle Bus To The Yonge &amp; Sheppard Subway Station. Stainless Steel Appliances: Fridge, Stove, Oven, Dishwasher, Microwave, Washer And Dryer, All Electrical Fixtures And All Window Coverings. 1 Parking And 1 Locker.""",https://www.realmaster.com/en/toronto-on/120-harrison-garden-blvd/720-willowdale-east-TRBC4944987?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1,"720 120 Harrison Garden Blvd, Toronto, Ontario, M2N0C2"
3,7 Lofthouse Sq | House Sold Price,E5080019,sold,Residential House,,20210109,20210110,"1,250,000","1,099,800",3,4,3,,N,,,,"Sought After Area * Renovated From Top To Bottom * Top Of The Line Custom Kitchen * Rare Master Ensuite * Hardwood Floor * Pot Light * Custom Roller Blind * Xl Walk In Closet * Large Rec Area In Basement With Private Bath &amp; Bedroom * Newer Door Window, Attic Insulation (2019) * New Front &amp; Rear Deck * Interlock Driveway * Walking Distance To Mall, School, Library, Hospital * Buyer Must Assume Aaa Tenant Unit July 31, 2021 * Stainless Steel: Fridge, Dishwasher, Microwave Range &amp; B/I Oven. Induction Cook Top, Frt Load Washer/Dryer, Elf, Garage Opener W/2 Remotes, Window Coverings. Chattel Used By Tenant: Fridge, Microwave Range, Cook Top, Frt Load Washer/Dryer.""",https://www.realmaster.com/en/toronto-on/7-lofthouse-sq/lamoreaux-TRBE5080019?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1,"7 Lofthouse Sq, Toronto, Ontario, M1W2E1"
4,56 Drayton Ave | House Sold Price,E4984635,sold,Residential House,,20201110,20210111,"1,250,000","1,250,000",3,3,1,,W,,,,"Steps Away From The Fabulous Danforth Absolutely Stunning And Move In Ready! Fully Renovated House With Brand New Large Kitchen, All New Appliances, 3 Full Bathrooms, New Roof , New Windows, New 200 Amp Service, Hardwood Throughout, All New Doors, Balcony, Skylight, Kitchen Island, Walk Out To Deck From Dining Room, Large Covered Porch And Many Many More Upgrades! Don't Miss This One, Its A Must See!  Parking For 2 Cars At Back Of House. Two Brand New Stoves, 2 Fridges, Cac, Pot Lights Throughout The House. Separate Entrance To Basement. Second Laundry Rough In On Second Level.""",https://www.realmaster.com/en/toronto-on/56-drayton-ave/woodbine-corridor-TRBE4984635?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1,"56 Drayton Ave, Toronto, Ontario, M4C3L9"
5,3391 Bloor St W 509 | Apartment Sold Price,W5069960,sold,Residential Apartment,5,20201222,20210111,"527,000","529,999",1,1,0,500-599,NW,Owned,Owned,489.18,"Modern Open Concept Corner One Bedroom Unit At Kingswood! Stylish Boutique Building Steps From Islington Subway, Sobeys, The Kingsway Shops And Restos, Parks And Everything You Can Want! Incredibly Bright Corner Unit With 12 Ft Ceilings, Tons Of Nat Light &amp; Very Functional Layout. Hwd Floors Throughout, Upgraded Kitchen W/Granite And Ss App, Roomy Balcony With Clear Nw Views. Quiet Well Managed Building W/Amenities Incl Concierge, Gym, Huge Rooftop &amp; More. Elfs, Custom Blinds, S/S Fridge, S/S Stove, S/S Microwave, S/S Dishwasher. Stacked Washer &amp; Dryer. Custom Closet Organisers Throughout. One Underground Parking Spot B 45 And One Locker C 106.""",https://www.realmaster.com/en/toronto-on/3391-bloor-st-w/509-islington-city-centre-west-TRBW5069960?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1,"509 3391 Bloor St W, Toronto, Ontario, M8X1G3"
6,5 Rowntree Rd 602 | Apartment Sold Price,W5066249,sold,Residential Apartment,6,20201215,20210109,"575,000","595,000",2,2,0,1200-1399,S,Owned74Owned75,Owned,808.67,"Stunning Renovation, Top To Bottom W/ Panoramic Views. Bright, South-Facing Corner Unit W/Floor To Ceiling Windows &amp; Unobstructed Views Of The Humber Valley Ravine. Features Open Concept, 2 Bdrm/2Bath. Brand New Finishes Incl. Engineered Hardwood, Porcelain Tiles, B/I Cabinetry, Closet Organizers, Modern Kitchen &amp; Baths W/ Quartz Counters. Amenities: 24H Gated Security, Indoor/Outdoor Pool, Jacuzzi, Sauna, Rec. Room, Squash Court, Tennis Court, Gym &amp; More! Brand New Appliances Including: Stainless Steel Fridge, Microwave Range Hood, Stove, Dishwasher. Washer &amp; Dryer. Illuminated Bathroom Mirrors, All Electrical Light Fixtures, All Vertical Window Blinds.""",https://www.realmaster.com/en/toronto-on/5-rowntree-rd/602-mount-olive-silverstone-jamestown-TRBW5066249?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1,"602 5 Rowntree Rd, Toronto, Ontario, M9V5G9"
7,58 Marine Parade Dr 903 | Apartment Sold Price,W4994778,sold,Residential Apartment,9,20201119,20210108,"1,415,000","1,499,000",2,2,1,1600-1799,SE,Owned54Rental,Owned,1222.5,"Truly One Of A Kind Unit W/Unobstructed Panoramic City &amp; Lake Views. Wall To Wall Windows &amp; Walk Outs To The Balcony From Bedrooms/Living - View Is Serene. Sleek Kitchen W/Waterfall Island, Stone Counters, Alkaline Filtration &amp; Easy One Touch Cabinets. Stone Wall, Ethanol Fp &amp; Built In Speakers In Living Rm.Smart/Powered Shades Thru-Out.Master Bdrm Offers 5Pc Ensuite &amp; W/In Closet.The Den Has Been Converted Into A Dream Walk In Closet. Jenn-Air Appl,Washer/Dryer, Smart Toto Washlet Toilets,Epay Flr On Balcony.Excl:Water Filtration Systems In Baths/Kitchen. Humber Bay Shores Is Lake Side Living At Its Best W/Endless Bike/Walk Trails.5 Star Amenities &amp; 24Hr Concierge""",https://www.realmaster.com/en/toronto-on/58-marine-parade-dr/903-mimico-TRBW4994778?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1,"903 58 Marine Parade Dr, Toronto, Ontario, M8V4G1"
8,2901 Jane St 34 | Townhouse Sold Price,W4990090,sold,Residential Townhouse,1,20201114,20210110,"455,000","479,900",3,2,0,1000-1199,E,Exclusive,None,427.11,"Affordable, Clean, And Very Spacious 2-Storey Townhouse! Perfect For A Growing Family That Needs More Space Or First Time Buyer! This Home Features A Huge Combined Living/Dining Area With Laminate Flooring, 3 Large Bedrooms, 2 Washrooms, &amp; A Private Fenced In Front Yard! Lots Of Potential With This One! Low Maint. Fee! Close To All Major Amenities, Ttc, Shopping, Schools, Etc. Quick Closing Available. Priced For Immediate Sale! Don't Miss It! Fridge, Stove, All Electrical Light Fixtures, All Window Coverings.""",https://www.realmaster.com/en/toronto-on/2901-jane-st/34-glenfield-jane-heights-TRBW4990090?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1,"34 2901 Jane St, Toronto, Ontario, M3N2J8"
9,75 Blackwell Ave 52 | Townhouse Sold Price,E5073273,sold,Residential Townhouse,1,20210102,20210108,"670,000","549,900",4,2,1,1000-1199,N,ExclusiveExclusive,None,378.11,"Exceptionally Well Kept &amp; Cozy 4 Br End Unit Townhouse Like A Semi Detached Ideal For 1st Time Buyers. Located In A Well Maintained Complex. Super Clean &amp; Sun Filled Unit. Comes With Many Upgrades. 2nd &amp; 3rd Level With New Laminated Flooring, Entire House Newly Painted, Newly Upgraded Modern Bath, Custom Made Front &amp; Storm Dr, Reno Kitchen W/ Gleaming White Pantries &amp; New S/S Appliances. Stairs With Iron Railing, Living Rm W/Pot Lights &amp; W/O To Balcony. Dining Rm Overlooks To Kitchen, Spacious Bedrooms, Den On The 3rd Floor Can Be Converted Into W/I Closet Or Study Rm. Family Rm With W/O Access To Huge Yard,  Close To School. 401, Ttc, Park &amp; Shopping, See Schedule B For List Of Chattles""",https://www.realmaster.com/en/toronto-on/75-blackwell-ave/52-malvern-TRBE5073273?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1,"52 75 Blackwell Ave, Toronto, Ontario, M1B1K5"
