,title,MLS ID,transaction_type,home_type,level,first day on market,last day on market,sold_price,list_price,bedrooms,bathrooms,den,sqft,exposure,parking,locker,maintanance fee,description,link,address
1822,909 Bay St 907 | Apartment Sold Price,C5068839,sold,Residential Apartment,9,20201220,20201230,"730,000","748,000",2,2,0,800-899,Se,Owned,Owned,656,"Welcome To The Allegro, This Prestigious Building In The Heart Of Toronto's Hospital And Financial District, Walking Distance To Uoft, Ryerson, Yorkville, Transit And So Much More. Never Before Offered A Large Sun-Filled 2 Bedroom, 2 Full Bath, With Parking And Over Sized Locker. South/East View And A Large Corner Balcony. A Must See! Fridge, Stove, Dishwasher, All Electrical Light Fixtures.""",https://www.realmaster.com/en/toronto-on/909-bay-st/907-bay-street-corridor-TRBC5068839?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=38,"907 909 Bay St, Toronto, Ontario, M5S3G2"
1823,15 Lower Jarvis St 1313 | Apartment Sold Price,C5066700,sold,Residential Apartment,13,20201215,20210107,"742,000","749,900",2,2,0,700-799,E,Owned452,Owned,497.79,"Highly Coveted Daniel's Lighthouse West Tower, Waterfront Community, Beaches, Sugar Beach, Close To Highway, Loblaws, Distillery District, St. Lawrence Market, 24Hr Concierge, Rooftop Garden, Party Room, Heart Of The City - Lakes, Cafes, Restaurants, Corus Entertainment, Outdoor Pool With Cabanas, Bbq Area, Basketball And Tennis Courts. New Miele Appliances, Upgraded Tiles, Custom Blinds, Washer &amp; Dryer, 33Ft Long Balcony.""",https://www.realmaster.com/en/toronto-on/15-lower-jarvis-st/1313-waterfront-communities-c8-TRBC5066700?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=38,"1313 15 Lower Jarvis St, Toronto, Ontario, M5E0C4"
1824,15 Fort York Blvd 2311 | Apartment Sold Price,C5060279,sold,Residential Apartment,20,20201208,20210118,"686,000","699,900",1,1,1,700-799,S,Owned,None,407.85,"Beautiful, Recently Renovated South Facing Property On High Floor. Spectacular Lake View. Floor To Ceiling Windows. Lots Of Natural Light. Large 100 Sq Ft Open Balcony. Step Away From Everything You Need. Ttc, Restaurants, Grocery Stores, Banks, Shopping, Rogers Center, Water Front, Convenient Access To Highway. State Of The Art Amenities Including Gym, 24 Hours Concierge, Sauna, Indoor Pool, Hot Tub, Guest Suites, Visitor Parking, Bbq Terrace, Sky Lounge. Fridge, Stove, Built In Dish Washer, Built In Microwave, Hood Fan, Stacked Washer/Dryer, All Electric Lights, Blinds, Parking Spot P2-N10""",https://www.realmaster.com/en/toronto-on/15-fort-york-blvd/2311-waterfront-communities-c1-TRBC5060279?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=38,"2311 15 Fort York Blvd, Toronto, Ontario, M5V3Y4"
1825,65 East Liberty St 1206 | Apartment Sold Price,C5053972,sold,Residential Apartment,12,20201201,20210120,"615,000","619,900",1,1,1,600-699,W,Owned45,Owned,406.19,"** In Heart Of King West Liberty Village ** 1 Br + 1 Large Den With Closet ** Bright West Views ** Modern Kitchen With S/S Appliances, Large Bedroom With Double Closet, Den Can Be Used As 2nd Br Or Home Office ** Amenities Include Indoor Pool, Movie Theatre, Rooftop Patio, Yoga Studio, Gym, Sauna, Bowling Alley,  Simulated Golf, Billiards Room, Guest Suites And Visitor Parking. 1 Parking And 1 Locker Fridge, Stove, Dishwasher, Microwave, Washer And Dryer. All Electrical Light Fixtures And All Window Coverings. 1 Parking And 1 Locker.""",https://www.realmaster.com/en/toronto-on/65-east-liberty-st/1206-niagara-TRBC5053972?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=38,"1206 65 East Liberty St, Toronto, Ontario, M6K3R2"
1826,375 King St W 3203 | Apartment Sold Price,C4990773,sold,Residential Apartment,31,20201116,20210120,"747,500","759,900",2,2,0,700-799,S,None,Owned,532.57,"2 Bed/2 Bath King W Condo So Bright It Practically Glows. South Facing With Fab Lake/Park View. Open Concept Split Layout, 763 Sq Ft. Concrete Ceilings &amp; Kitchen With Great Storage. Windows Galore. Primary Bedroom With Walk-In Closet, Huge Window &amp; 4Pc Ensuite. Spacious 2nd Bed. Bbq Friendly Balcony. Oversized Locker. Freshly Painted. Award-Winning, Eco-Friendly Leed Gold Status Certified. Incredible 'Hood, Steps To Rests, Bars, Groceries &amp; More. Ttc At Door. Incl: Gas Cooktop, B/I Oven, S/S Fridge, S/S Dishwasher, Washer, Dryer, All Elfs, Blinds. Pet Friendly Building. Freshly Painted.""",https://www.realmaster.com/en/toronto-on/375-king-st-w/3203-waterfront-communities-c1-TRBC4990773?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=38,"3203 375 King St W, Toronto, Ontario, M5V1K1"
1827,77 Shuter St 702 | Apartment Sold Price,C4980762,sold,Residential Apartment,6,20201105,20210120,"782,000","799,900",2,2,0,600-699,Sw,Owned,Owned,542.57,"Brand New 88 North Condos! Fantastic S/W Exposure Makes This 2 Br 2 Bath Condo Bright! Hugebalcony, 2 Lockers! Open Concept Living/Dining, Modern Kitchen And Bathrooms. Great Location! Walking Distance To Ryerson University, George Brown College, St. Michael's Hospital, St. Lawrence Market, Financial District, Eaton Centre &amp; More!! This Amazing Urban Planned Neighbourhood Will Feature A Full Block Of Dining, Shopping, A Boutique Hotel, Fitness Club And Park. Incl Fridge, Stove, D/W, Microwave, Washer/Dryer; Kitchen Cabinets Designed By Cecconi-Simone W/ Under Cabinet Lighting, B/I Shelves; 24Hr Concierge; Bldg Amenities: Outdoor Pool, Bbq's, Gym, Party Room &amp; More! *Note: Rooms Virtually Staged""",https://www.realmaster.com/en/toronto-on/77-shuter-st/702-church-yonge-corridor-TRBC4980762?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=38,"702 77 Shuter St, Toronto, Ontario, M5B0B8"
1828,100 Hayden St 906 | Apartment Sold Price,C4977190,sold,Residential Apartment,7,20201103,20210114,"675,000","699,000",2,2,1,800-899,Ne,ExclusiveP420,Exclusive,790.17,"**Excellent Value!** Beautiful 800+Sq.Ft. Walk To Yonge/Bloor, Yorkville, Subway, Shops, Walk Score 99! Move-In, Clean, Freshly Painted: Ready For Your Own Decor &amp; Furnishings! Picturesque Historic &amp; Treed Views. Open Living-Dining, Gleaming Floors, Potlights, Fireplace, Balcony. Open Concept Kitchen W/Granite Counters. Master En-Suite. Bright 2nd Bdrm W/2 Sets Of Windows! Updated Baths. Quiet Cul-De-Sac, Prime Downtown, Yet Away From The Hustle Bustle. Fridge, Stove, New S/S Dishwasher, Bosch Washer-Dryer, Built-In Microwave, Elfs, Window Coverings, Bar Stools. Boutique Building With Concierge, Gym, Indoor Pool, Roof-Top Patio, Party &amp; Games Room To Enjoy Post-Covid. 1 Locker, 1 Parking.""",https://www.realmaster.com/en/toronto-on/100-hayden-st/906-church-yonge-corridor-TRBC4977190?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=38,"906 100 Hayden St, Toronto, Ontario, M4Y3C7"
1829,15 Beverley St Th27 | Townhouse Sold Price,C4975621,sold,Residential Townhouse,1,20201102,20210104,"805,000","835,000",1,1,1,800-899,W,Owned,None,869.25,"Amazing Value, Brand New Unit Just Steps From Queen St. Via Your Private Front Door Entrance. Very Convenient Super Rare One+Den Townhome Unit In Private Boutique Building. This Residence Features A Flawless Intimate Design And Remarkable Finishes. Fully Integrated S/S Designer Kitchen, Floor To Ceiling Windows And Custom Spa Inspired Bathroom. Den Can Be Used As Second Bedrm. Private Front Terrace, A+ Amenities, 2nd Floor Entrance From Hallway Designed By Munge Leung. All Integrated Full Size Appliances,Stackable Washer, All Window Coverings And Fixtures. Private Roof Top Pool With Terrace And Outdoor Kitchen. Steps From The Ago, Ocad, Entertainment And Financial District.""",https://www.realmaster.com/en/toronto-on/15-beverley-st/th27-kensington-chinatown-TRBC4975621?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=38,"Th27 15 Beverley St, Toronto, Ontario, M5T1X8"
1830,55 Bremner Blvd 3607 | Apartment Sold Price,C4952612,sold,Residential Apartment,30,20201014,20210128,"828,000","849,900",2,2,0,800-899,SE,Owned205,None,813.5,"Welcome To Maple Leaf Square, The Centre Of Sports Enter. Freshly Painted, Corner Unit, Spacious Split 2 Bdrms &amp; 2 Baths Layout W/New Carpet&amp;Glass Shower Dr. Open Concept Liv&amp;Din, W/O To Huge Balcony. Extremely Bright Unit W/Panoramic Se View Offers The Lake &amp; Fans Zone Of Raptors&amp;Leafs. Connects To The Path, Union Station&amp;Scotiabank Arena. Convenient On-Site Longo's Grocery, Bank &amp; Rests. Mins To Hwy, Steps To Harbourfront, Financial &amp; Enter Dist&amp;Much More. S/S:[Fridge, Stove, B/I Dishwasher, Micro W/Hood], Stacked Washer&amp;Dryer, All Upgraded Elfs&amp; 1 Parking(Behind Elevator). Upscale Amenities W/24 Hrs Concierge, Indoor&amp;Outdoor Pools, Gym, Party Rm &amp; More. **Vacant Unit, Pls See Virtual Tour.**""",https://www.realmaster.com/en/toronto-on/55-bremner-blvd/3607-waterfront-communities-c1-TRBC4952612?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=6,"3607 55 Bremner Blvd, Toronto, Ontario, M5J0A6"
1831,10 Meadow Ave | House Sold Price,E5091215,sold,Residential House,,20210122,20210128,"1,152,000","899,000",3,2,0,,N,,,,"Dreams Are Made On Meadow! Curb Appeal For Days.. Inviting Entry Feat. Chic Lighting, Open Living &amp; Dining With High Ceilings, Bright Windows And Hickory Floors. Fab Kitchen W/Gas Range, Custom Cabinets, Stainless And Quartz, Dbl Sink And Walkout To Low Maintenance Back Yard With Turf &amp; Deck. Watch Sunsets In The Master From The Juliet Balcony. Basement Rec For Relaxing. Nothing To Do But Move In And Enjoy! See Virtual Tour For 3D Walkthru And Video. Stainless Steel Fridge, Gas Stove, B/I Microwave, Dishwasher, Washer And Dryer, All Elf's, Basement Freezer And Storage Shed. Located In The Coveted Blantyre Ps &amp; Malvern Ci School District! Exclude Wall Mounted Tv And Brackets.""",https://www.realmaster.com/en/toronto-on/10-meadow-ave/birchcliffe-cliffside-TRBE5091215?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=6,"10 Meadow Ave, Toronto, Ontario, M1N1V6"
