,title,MLS ID,transaction_type,home_type,level,first day on market,last day on market,sold_price,list_price,bedrooms,bathrooms,den,sqft,exposure,parking,locker,maintanance fee,description,link,address
3018,8 Eglinton Ave E 3707 | Apartment Sold Price,C5084007,sold,Residential Apartment,37,20210113,20210207,"588,000","608,000",1,1,0,500-599,N,None,Owned,414.25,"One Year New Luxury E-Condo Unit In Excellent Yonge Eglinton Location, Beautiful Unobstructed North City View With Huge Balcony, 9' Ceiling, 514 Sqft + 102 Sqft. , Excellent Layout, High End Energy Efficient Appliances, Direct Underground Access To Subway, Indoor Pool, Gym, Steps To Restaurants, Lcbo , Shopping Centre, Movie Theatre.... B/I Fridge, Cook-Top, B/I Oven, B/I Microwave, B/I Dishwasher, Stacked Washer &amp; Dryer, All Electrical Light Fixtures, Window Shades""",https://www.realmaster.com/en/toronto-on/8-eglinton-ave-e/3707-mount-pleasant-east-TRBC5084007?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=86,"3707 8 Eglinton Ave E, Toronto, Ontario, M4P 0C1"
3019,199 Richmond St W 2301 | Apartment Sold Price,C5101180,sold,Residential Apartment,22,20210202,20210209,"780,000","738,000",1,1,1,600-699,N,Owned10,Owned,595.29,"Hidden Gem In Queen West, High Above Road Noise, Just Steps To Subway Station. 658 Sq Ft - Spacious Sized 1+Den Unit With Unobstructed Downtown City Views, Floor To Ceiling Windows, 9Ft Ceiling, Built In Miele Appliances, Double Closets, Semi-Ensuite 4Pc Bath, Ensuite Laundry &amp; 61 Sq Ft Open Balcony.  Great Amenities - Hot Tub Sauna, Rooftop Garden, Gym And More. 1 Parking &amp; Locker. Minutes To All Major Attractions. Walk Score 99 - Transit Score 100. Built In Miele Stove, Refrigerator, Dishwasher, Glass Cooktop, Granite / Caesarstone Quartz Countertop, Front Load Washer &amp; Dryer, One Parking Space, One Locker.""",https://www.realmaster.com/en/toronto-on/199-richmond-st-w/2301-waterfront-communities-c1-TRBC5101180?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=86,"2301 199 Richmond St W, Toronto, Ontario, M5V0H4"
3020,255 Village Green Sq 1508 | Apartment Sold Price,E5089060,sold,Residential Apartment,15,20210120,20210206,"426,000","429,000",1,1,0,0-499,N,Owned32,None,327.24,"Bright And Beautiful One Bedroom Facing North At Great Scarborough Location Built By Tridel At Metrogate Avani Community.  Unit Comes With Great Layout, Laminate Flooring, Modern Open Kitchen With Granite Counters, And Stainless Steel Appliances.  Convenient Location:  Close To Restaurants, Library, Supermarkets, Public Transit, And Hwy401. Existing Fridge, Cooktop And Oven, Rangehood, B/I Dishwasher, White Washer And Dryer, All Window Coverings And All Elfs.""",https://www.realmaster.com/en/toronto-on/255-village-green-sq/1508-agincourt-south-malvern-west-TRBE5089060?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=86,"1508 255 Village Green Sq, Toronto, Ontario, M1S0L3"
3021,955 Bay St 314 | Apartment Sold Price,C5069542,sold,Residential Apartment,3,20201221,20210205,"580,500","599,000",1,1,0,500-599,S,None,None,349.98,"Prime Downtown Location! Walking Distance To U Of T, Ryerson University, Subway Station And Queen's Park. An Open Concept Layout, Modern Kitchen With Built-In Appliances &amp; Hardwood Flooring Throughout!  Amenities Including Outdoor Terrace &amp; Pool, Spa And Fitness Room. The Britt Luxury Condo In The Heart Of Downtown. Cook Top, Hood,  Refrigerator And Built-In Dishwasher, Washer And Dryer.  B/I S/S Wall Oven &amp; Microwave.""",https://www.realmaster.com/en/toronto-on/955-bay-st/314-bay-street-corridor-TRBC5069542?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=86,"314 955 Bay St, Toronto, Ontario, M5S2A2"
3022,29 Singer Crt 702 | Apartment Sold Price,C5057540,sold,Residential Apartment,6,20201204,20210209,"683,000","695,000",2,2,1,900-999,Sw,Owned127,Owned,761.25,"Discovery At Concord City Place; Luxury Condo At Sheppard/Bayview &amp; Leslie; Bright &amp;Spacious Corner Unit W/ Unobstructed Sw View; Free Shuttle And Close To The Ttc, Go Train, Ikea, Canadian Tires, Starbucks And Other Amenities; Easy Access To Hwy#401, Hwy#404/Dvp; 955 Sf + 155 Sf = 1,110 Sf; Large Wrap-Around Balcony.Amenities: Indoor Pool, Gym, Party Room, Theatre, Karaoke Rm, Kid Playground, Pet Spa And More! One Parking &amp; One Locker! All Elf. Fridge, Stove, Built-In Dishwasher, Washer.""",https://www.realmaster.com/en/toronto-on/29-singer-crt/702-bayview-village-TRBC5057540?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=86,"702 29 Singer Crt, Toronto, Ontario, M2K0B3"
3023,60 Heintzman St 216 | Apartment Sold Price,W5098078,sold,Residential Apartment,2,20210129,20210131,"555,750","569,900",1,1,1,600-699,S,None,Owned,307.49,"Newly Renovated 1 Bedroom 1 Bathroom With Den And South View From Juliette Balcony Located In The Hip &amp; Chic Junction. Renovated Kitchen &amp; Bath, Granite Counters, Pocket Doors, Freshly Painted, Mirrored. Closet Doors, Hardwood Floors, Demand Area, Very Trendy. New S/S Fridge, Stove, B/I Dishwasher. Stackable Washer/Dryer, New Light Fixtures, New Flooring, Pets Allowed With Restriction. Locker Included On Same Floor As Suite. 24 Hour Concierge Visitor Parking Bbq Terrace.""",https://www.realmaster.com/en/toronto-on/60-heintzman-st/216-junction-area-TRBW5098078?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=86,"216 60 Heintzman St, Toronto, Ontario, M6P5A1"
3024,5 Concorde Pl 3609 | Apartment Sold Price,C4949715,sold,Residential Apartment,36,20201011,20210211,"699,900","699,900",2,2,1,1200-1399,Ne,Exclusive,Owned,757.05,"Rarely Offered Lower Penthouse Unit For Sale. Well Maintained 2 Bedrooms+Solarium Unit With Higher Ceilings. Spacious Layout With 1237 Sqft. Great Building Amenities Included: 24 Hrs Concierge, Gym, Indoor Pool, Guest Suites, Tennis Court, Etc; Ttc Near Building, Easy Access To From Dvp, Real Cdn Superstore On Wynford, Eglinton Crosstown Lrt Under Construction. Fridge, Stove, Dishwasher, Washer &amp; Dryer, All Light Fixtures, All Window Coverings.""",https://www.realmaster.com/en/toronto-on/5-concorde-pl/3609-banbury-don-mills-TRBC4949715?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69,"3609 5 Concorde Pl, Toronto, Ontario, M3C3M8"
3025,65 Old Finch Ave | House Sold Price,E5111169,sold,Residential House,,20210210,20210211,"1,375,000","1,230,000",5,5,3,2500-3000,S,,,,"**Walk-Out Basement**  .Spectacular Large 5 Bedrooms Home For A Growing Family Located In The High Demand Area Of Rouge.,Hardwood  Floors.Black Granite Kitchen C/Tops.Breakfast Area Opens To The Huge 2 Tier Deck,Family Room With Fire Place,Pot Lights,Skylight Floods The Whole Home With Light.Jacuzzi,,2 Laundry., Interlock Driveway.Freshly Painted.Steps To Ttc &amp; Min To School.Close To Uft,Centennial College,Hyways,Shopping 3Fridge, 2Stove,Dishwasher,2 Washer &amp; Dryer,Ac (2018).B/New Hwt Rental (2019),All Elfs,Window""",https://www.realmaster.com/en/toronto-on/65-old-finch-ave/rouge-e11-TRBE5111169?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69,"65 Old Finch Ave, Toronto, Ontario, M1B5J2"
3026,12 Sudbury St 3009 | Townhouse Sold Price,C5108748,sold,Residential Townhouse,2,20210205,20210210,"732,000","749,000",2,1,0,600-699,E,Owned,Owned,299.21,"Live Like A Local Just Steps Away From The Stylish King West Village.  This Endearing 2 Bedroom Condo With A Unique Terrace To Enjoy The Summer Weather. Close To All Amenities You Are Looking For Including; Ttc, Parks, Cafes, Shops, Galleries, And Much More. This Opportunity Is Definitely One You Don't Want To Miss Out On! """,https://www.realmaster.com/en/toronto-on/12-sudbury-st/3009-niagara-TRBC5108748?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69,"3009 12 Sudbury St, Toronto, Ontario, M6J3W7"
3027,24 Charlton Blvd | House Sold Price,C5108427,sold,Residential House,,20210208,20210210,"1,515,000","1,318,000",4,5,1,3000-3500,W,,,,"Outstanding Detached 2 Storey Property In A Family Neighborhood, With 4 Large Bedrooms And 5 Washrooms. Amazing Location In Central North York, Backing Into A Park With Close Access To Transportation, Shops And Important Amenities. Fridge, Stove, B/I Dishwasher, Central Vacuum System, All Window Coverings, All Light Fixtures, Central Air Conditioning""",https://www.realmaster.com/en/toronto-on/24-charlton-blvd/newtonbrook-west-TRBC5108427?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=69,"24 Charlton Blvd, Toronto, Ontario, M2M1B9"
