,title,MLS ID,transaction_type,home_type,level,first day on market,last day on market,sold_price,list_price,bedrooms,bathrooms,den,sqft,exposure,parking,locker,maintanance fee,description,link,address
1376,46 Summerhill Gdns | House For Sale,C4858756,for sale,Residential House,,20200806,,,"3,989,000",9,4,1,5000+,E,,,,"Spectacular Ravine Lot In The Highly Coveted Neighbourhood Of Summerhill. Situated On A Quiet Crescent With A Private Backyard Overlooking The Beautiful Greenery Of David Balfour Park. Incredible Potential For This Property. Currently Has 4 Units With Ample Living Space. Live In 1 Unit And Rent The Remaining 3 Units; Or Renovate/Build To Your Preference. Excellent Schools, Shops, Restaurants, And Just Steps To Summerhill Station For Easy Subway Access. 46&amp;48 Summerhill Gdns Are Semi-Detached Houses And Both Have 2 Units In Each (4 Units In Total). 2536+2710 = 5246 Total Square Feet (Mpac). This Listing Is For Both 46 &amp; 48 Summerhill Gardens (Must Be Sold Together).""",https://www.realmaster.com/en/toronto-on/46-summerhill-gdns/rosedale-moore-park-TRBC4858756?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=26,"46 Summerhill Gdns, Toronto, Ontario, M4T 1B4"
1377,40 Oxenden Cres | House For Sale,W5103199,for sale,Residential House,,20210203,,,"998,000",3,3,1,,E,,,,"Much Loved Well-Cared For 3 Bedroom, 3 Bath Bungalow Located In A Desirable Pocket Of Central Etobicoke.45' X 122' Lot W/ Long Wide Drive &amp; Single Car Attach Garage W/Mezzanine Storage. Fully Fenced Backyard Features A Bbq Gas Hook-Up &amp; Accent Lighting Pole. Ideally Located Close To Numerous Parks &amp; Walking Trails &amp; 10 Minutes To Pearson Airport. The Main Floor Holds 3 Good-Sized Bedrooms W/Hardwood Flrs, Eat-In Kitchen &amp; Spacious L-Shaped Living/Dining Area Sep Side Entr To Fin Lower Level W/4th &amp; 5th Br (Or Office/Exercise), A Massive Rec Rm W/Wood-Burning Fire Pl, Laundry &amp; Storage.  *2 Three Piece Baths*. Wonderfully High Bment Ceilings.Incl S/S Fridge (2020),Stove (2021) Washer/Dryer,Shed""",https://www.realmaster.com/en/toronto-on/40-oxenden-cres/eringate-centennial-west-deane-TRBW5103199?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=26,"40 Oxenden Cres, Toronto, Ontario, M9C4H4"
1378,3 Briarbluff Ave | House For Sale,E5105023,for sale,Residential House,,20210204,,,"899,900",3,3,0,1500-2000,S,,,,"Spacious And Updated Detached Home In Great Family-Friendly Neighbourhood. Huge Open Concept Main Living Area With Oversized Kitchen Island And Breakfast Bar; Upgrades Include Black Stainless Appliances, Chandeliers, Nest Thermostat, Ring Doorbell Pro, Keyless Entry. Side Entrance To Newly Renovated Bsmt Rec Room And Guest Suite. Steps To Schools, Shops, Ttc And Guildwood Go, U Of T Scarborough, Centennial College, Pan Am, Waterfront, Zoo, 401. Rental - Hot Water Tank""",https://www.realmaster.com/en/toronto-on/3-briarbluff-ave/west-hill-TRBE5105023?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=26,"3 Briarbluff Ave, Toronto, Ontario, M1E3H2"
1379,67 Hambly Ave | House For Sale,E5104010,for sale,Residential House,,20210204,,,"1,699,900",4,3,1,,E,,,,"Grand 3 Storey In Prime Beach. Renovated 4 Bedroom W/Separate Entry To In-Law Suite, Beckerman's Kitchen W/Stone Countertops &amp; Wolf Range. Spacious Family Room W/Gas Fireplace, Custom Built-In's, Walkout To Mudroom &amp; Backyard. Master Bedroom Retreat W/Ensuite &amp; Walkout To Roof Top Deck. Rarely Offered 3 Car Garage/Workshop &amp; Private Parking For Multiple Vehicles. Steps To Queen &amp; The Boardwalk, Ttc, Glen Ames &amp; Williamson Rd Schools. Malvern C.I. District. 6 Burner Wolf Gas Range, 2 Fridges, Built-In Dishwasher, Electric Stove, 2 Washers, 2 Dryers, Furnace 2001, Hwt (R) 2011, Light Fixtures &amp; Pot Lighting, Alarm System, 200 Amps. Approx. 7 Ft Ceilings In Basement Suite - Vacant On Closing.""",https://www.realmaster.com/en/toronto-on/67-hambly-ave/the-beaches-TRBE5104010?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=26,"67 Hambly Ave, Toronto, Ontario, M4E2R5"
1380,180 Empress Ave | House For Sale,C5079955,for sale,Residential House,,20210109,,,"3,780,000",4,7,2,3500-5000,N,,,,"One Of A King Designer Luxury Cstm Build Home On Premium South Facing Lot. Over 5400Sq/F Spacious Living Space.Steps Away From Best School. Elegant Excellent Finishes. Exotic Use To Marble Stone Thru Out, Top Of Line Designer Gourmet Kitchen W/ 2nd Enclosed Kitchen, Lrg Windows, Lots Of Light, Intensive Wd Trim Work. Huge Master Suite W/ W/I Closet And Spa-Like Ensuite. Heated W/U Bsmt With Gym, Steam Sauna And Wet Bar.15 Ft Library. 10 Ft Main+2nd Flr. World Class B/I Subzero Fridge, B/I Wolf Microwave And Owen, Two B/I Wolf 6 Gas Buner, B/I D/W, 4 Fireplaces, Samsung W/D, Cvac, Security Cam, B/I Speaker, Designer Chandelier And Italian Faucet. Nest Chrmst, B/I Wine Cellar""",https://www.realmaster.com/en/toronto-on/180-empress-ave/willowdale-east-TRBC5079955?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=26,"180 Empress Ave, Toronto, Ontario, M2N3T8"
1381,99 Sufi Cres | Townhouse For Sale,C5081482,for sale,Residential Townhouse,,20210106,,,"929,888",3,5,1,1500-2000,W,,,,"Location! Location! Location! Beautiful 3 Storey Townhome With 3 Bedrooms 5 Washrooms With Finished Basement! Eat-In Size Kitchen With W/O To Deck!, High-Efficiency Furnace &amp; Air Condition. Investment Property .Close To All Amenities! Near Ttc, Eglinton Sq. Mall, Don Valley Parkway, Bus Station &amp; Future Lrt Subway. One Bachelor Apartment In The Basement S/S Fridge 3 , 2 Stove , Washer, Dryer And All Electrical Light Fixtures Hwt (Rental)""",https://www.realmaster.com/en/toronto-on/99-sufi-cres/victoria-village-TRBC5081482?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=26,"99 Sufi Cres, Toronto, Ontario, M4A 2X2"
1382,4 Big Red Ave | House For Sale,E5095126,for sale,Residential House,,20210126,,,"899,900",4,3,1,,E,,,,"Location, Location, Location! Beautiful 4 Br Totally Renovated Home From Top To Bottom In Mccowan/Finch Area. 5 Minute Walk From Woodside Mall. This Home Was A Former Grow Up, And Was Remediated In 2004. Wood Stairs, Fully Renovated Basement Apartment. Incl: Stove, Fridge, Washer, Dryer, All Elfs, All Window Coverings.""",https://www.realmaster.com/en/toronto-on/4-big-red-ave/agincourt-north-TRBE5095126?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=26,"4 Big Red Ave, Toronto, Ontario, M1V1N7"
1383,2 Park St N | House For Sale,E5104891,for sale,Residential House,,20210204,,,"849,000",2,2,2,,S,,,,"Cozy, Quartz &amp; Specious Corner Lot Home With Sunny View. Situated On Very Situated On Very Privet, Lovely Treed Country-Like Oasis New Eat -Kithchen. A Little Tic And Fabulous Buy. Basement Suit With Separate Entrance. Steps To Ttc, Shops, Schools, Park &amp; Recreation Centre, % Mintues Walk To Go Station. Don't Miss This Opportunity. Basement Apartment Great Rental Income. 2 Sets Of Fridge &amp; Stove. Washer &amp; Dryer  ( Hwt Rental)""",https://www.realmaster.com/en/toronto-on/2-park-st-n/birchcliffe-cliffside-TRBE5104891?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=26,"2 Park St N, Toronto, Ontario, M1N2N1"
1384,4 Faith Ave | House For Sale,C5096592,for sale,Residential House,,20210128,,,"2,999,888",4,7,1,,N,,,,"Welcome To A New Height Of Lux Living, This Exquisite Custom-Built Home Offers Over 5,700 Sqft Of Impeccable Craftsmanship &amp; Flawless Finishes, Featuring Grand 20Ft Open To Above Foyer, Designer Kitchen W/Imported Quartz, Endless Spiral Staircase W/Skylight, Heated Flrs, 10Ft Ceilings Main/Bsmt, 12Ft Tray Ceilings In Bedrms, Master Rm Suite W/Spa Inspired. Ensuite Bsmt Features: Wet Bar, Nanny Suite, Walk-Up. Close To Yorkdale Mall &amp; High-Demanded Schools. Coffered Ceilings, Smart Wired System For Surveillance, Heated Flrs, Jennair Appliances, Home Theatre Surround Sound Wiring, Gas Bbq Line, Cabinetry, Vanities &amp; Millwork By Lux Fine Cabinetry, Steam Shower, Builtin Speaker System""",https://www.realmaster.com/en/toronto-on/4-faith-ave/clanton-park-TRBC5096592?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=26,"4 Faith Ave, Toronto, Ontario, M3H1W3"
1385,189 Old Yonge St | House For Sale,C5104863,for sale,Residential House,,20210204,,,"2,699,000",3,4,1,2500-3000,E,,,,"This Superb Lot Is Available On The Highly Sought After Old Yonge St.. Stunning New Build To The North &amp; Lovely Family Bought Lot To The South And Is In The Process Of Building. Incredible Neighbourhood. One Of The Few Undeveloped Lots Remaining On Old Yonge Street. Perhaps Maintain The Footprint &amp; And Build Out The Back And The Front With Soaring Ceilings?  So Many Options! Beautiful Landscaping So Lot Does Not Require Expensive Tree Removal. Inground Sprinkler System. Extremely Conveniently Located To The Best Schools Toronto Has To Offer And Also Downtown. Easy Access To 401 &amp; Subway.""",https://www.realmaster.com/en/toronto-on/189-old-yonge-st/st-andrew-windfields-TRBC5104863?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=26,"189 Old Yonge St, Toronto, Ontario, M2P1R2"
