,title,MLS ID,transaction_type,home_type,level,first day on market,last day on market,sold_price,list_price,bedrooms,bathrooms,den,sqft,exposure,parking,locker,maintanance fee,description,link,address
0,18 Brookfield Rd | House For Sale,C5074734,for sale,Residential House,,20210104,,,"6,280,000",5,7,1,5000+,N,,,,"*Hoggs Hollow Hidden Jewel**Truly Elegant*56X295Ft Ravine Lot W/Lg Table Land*Spectacular/Luxurious 4558Sf(1st/2nd)+Apx 2400Sf Of Bsmt*Completely Redone W/World Class Materials&amp;Designer Deco*Impeccable Craftsmanship W/Superb Flr Plan*Exquisite Millwork/Built-In Shelves/Panelling/C-Speakers*H-Ceiling At All Lvls*Breathtaking Million Dollars Muskoka Cottage Setting Bkyd/Tranquil-Priv/Treed W/Heated Swimming Pool/Stone Deck/Built In Bbq*Allows All Season Parties *Paneled Refrigerator,Gas Stove,Paneled B/I Dishwasher,Range Hood,F/L Washer/Dryer,Gas Fireplaces,Cvac,B/I Outdr Bbq W/Stone Patio,Designer Quality Swimming Pool,Halogen Lits,Hardwood Floor,Panelled Lib-Shelves,Inclusions/Exclusions(Sch D)""",https://www.realmaster.com/en/toronto-on/18-brookfield-rd/bridle-path-sunnybrook-york-mills-TRBC5074734?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"18 Brookfield Rd, Toronto, Ontario, M2P1A9"
1829,10 Old York Mills Rd Th 7 | Townhouse For Sale,C5066823,for sale,Residential Townhouse,A,20201217,,,"1,630,000",2,3,1,1800-1999,Sw,Owned44Owned45,Owned,1818.66,"Prestigious Hogg's Hollow Boutique Townhouse W/Superb Park View. Ttc At End Of Street. High End Finishes Throughout Over $100,000 In Reno's. Luxury Kitchen &amp; Baths + Mn Flr 2Pc. Full Size Furniture - No Problem! Fam Rm With B/I Murphy Bed+ Entry To Building From 2nd Flr To Elevator. Ideal For Wheelchair. Largest End Unit With Extra Windows Onto Treed View. Very Private Large Terrace Overlooks Lovely Park. Immaculate Condition. Shows Like A Model! Panelled Dbl Dr Fridge, New Ss Stove, New Ss Bi Dw, New Ss Micro, Stack Washer/Dryer, All Elfs (Excl Dr), All Custom Window Coverings, 2 Pkg At Back Door, 1 Locker (Same Level), New Heat Pump, Elect Wifi Thermostat + Doorbell, Security.""",https://www.realmaster.com/en/toronto-on/10-old-york-mills-rd/th-7-bridle-path-sunnybrook-york-mills-TRBC5066823?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=108,"Th 7 10 Old York Mills Rd, Toronto, Ontario, M2P2G9"
1830,95 La Rose Ave 503 | Apartment For Sale,W5060517,for sale,Residential Apartment,5,20201208,,,"619,000",2,2,0,1200-1399,S,Exclusive,Exclusive,1021,"Live/Work &amp; Play In Humber Heights!  Super Spacious &amp; Stylish, This Modern Open Concept Condo Is Light And Bright. Large Principal Rooms Provide The Flexibility You'll Need For An Evolving Home Environment: Work Space, Leisure Space, Family Space, Your Space. And Wait Till You See The View! The Unobstructed East &amp; South Exposure Is The Best In The Building. Incredible Views &amp; Even More Incredible Value! Maintenance Fees Include Almost Everything! You'll Love Living At The Sovereign! In Total Transition This Well Managed Boutique Building Is Close To Parks, Trails, Transit, Schools &amp; Major Roads So You Can Escape The City! Fresh Paint, Newer Lights/Window Treats/Plumb &amp; Elec Redone.""",https://www.realmaster.com/en/toronto-on/95-la-rose-ave/503-humber-heights-TRBW5060517?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=108,"503 95 La Rose Ave, Toronto, Ontario, M9P3T2"
1831,4645 Jane St 1101 | Apartment For Sale,W4993020,for sale,Residential Apartment,10,20201118,,,"239,900",2,1,0,900-999,E,Owned,Owned,734.69,"Location, Location, Location, Newly Renovated 2 Bedrooms Condo, Brand New Laminate Flooring Throughout Apt. Steps To Ttc, Walking Distance To Pioneer And Vaughan Subway. Next Door To Pioneer Village, Close To York University, All Major Highways 407, 400,401. Nearby To Primary School, Community Center, Place Of Worship And Shopping Mall. All Elf's, Fridge, Stove, Drapery""",https://www.realmaster.com/en/toronto-on/4645-jane-st/1101-black-creek-TRBW4993020?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=108,"1101 4645 Jane St, Toronto, Ontario, M3N2K9"
1832,243 Perth Ave Gs2 | Apartment For Sale,W4987244,for sale,Residential Apartment,G,20201112,,,"1,269,000",2,2,1,1000-1199,S,OwnedA15,Owned,931,"One Of A Kind Suite At Arch Lofts. Located Within The Historic Church And Situated On A Quiet Residential Street In The Heart Of The Junction Triangle. This Garden Loft Features 2 South Facing Terraces, Wide Plank Oak Floors, Scavolini Kitchen With Gas Cooktop. 2 Stylish Washrooms And A Spacious Den Perfect For A Home Office. A Rare Opportunity To Live In A Historic Setting At The Right Scale. Includes Underground Parking And 2 Storage Lockers. A Unique Urban Home. Integrated Appliances, Island And Bbq Connection. Great Access To Parks, Restaurants, Bloordale And The Junction. Up Express Is Moments Away, With Easy Access To The Downtown Core And Pearson Airport.""",https://www.realmaster.com/en/toronto-on/243-perth-ave/gs2-dovercourt-wallace-emerson-junction-TRBW4987244?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=108,"Gs2 243 Perth Ave, Toronto, Ontario, M6P 3X9"
1833,19 Western Battery Rd 2308 | Apartment For Sale,C5064222,for sale,Residential Apartment,20,20201213,,,"775,000",2,2,1,700-799,W,Owned97,Owned,612.21,"Brand New Zen Condo, Never Lived In. Functional 2+Den Layout. The Den W/Sliding Door Can Be Used As The Third Bedroom, Sun-Filled West Facing Exposure With Unobstructed View. Amenities Include Gym, Running Track, Spa S/S Fridge, S/S Stove, S/S Dishwasher, S/S Microwave, Washer/Dryer, All Elf, Window Covering.""",https://www.realmaster.com/en/toronto-on/19-western-battery-rd/2308-niagara-TRBC5064222?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=108,"2308 19 Western Battery Rd, Toronto, Ontario, M6K3S4"
1834,320 Richmond St E 414 | Apartment For Sale,C4990079,for sale,Residential Apartment,4,20201115,,,"649,000",1,2,1,700-799,W,None,Owned,448.44,"Jumbo Sized 1 Bed + Den (Easily A 2nd Bedroom), 1 1/2 Bath @ The Modern. Over 700 Sq.Ft Of Living Space + 110Sf Balcony W/ West Facing Spectacular Sunset View Of Downtown Core &amp; C.N. Tower. Master Bedroom Has Ensuite &amp; Large Walk-In Closet. Smooth Ceilings, Beautiful Hardwood Floors, Frameless Glass Shower &amp; White Quartz Counters. Walk To Design District, St. Lawrence Market, Distillery &amp; Eaton Centre. Freshly Painted, Spotless, Move-In Condition. S/S Fridge, Stove, Microwave, Dishwasher, Washer/Dryer, Security System. 24 Hr Security, Amazing Rooftop Terrace With B.B.Q.S/Cabanas/Pools! Gym, Billiards, Party Lounge, Visitor Parking, Guest Suites &amp; Pet Friendly.""",https://www.realmaster.com/en/toronto-on/320-richmond-st-e/414-moss-park-TRBC4990079?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=108,"414 320 Richmond St E, Toronto, Ontario, M5A1P9"
1835,170 Bayview Ave 1505 | Apartment For Sale,C4989308,for sale,Residential Apartment,15,20201113,,,"588,888",1,1,0,500-599,Ne,None,Owned,365.21,"Extreme Architecture Award Winning River City Phase 3. Amazing Unobstructed View Of The City. Beautiful Open Concept Design With Engineered Hardwood Floors Thru-Out. Modern European Style Open Concept Kitchen W/ S/S Integrated Appl. Steps To Distillery Distric, Transit, Parks, Lake, 527 Sq Ft Of Living Space &amp; 40 Sq Ft Of Balcony. High Exposed Concrete Ceiling &amp; Close To Hwys. Fridge, Stove, Microwave, Hood Fan, Combined Washer &amp; Dryer, 1 Locker, 1 Bicycle Storage, All Elfs, All Blinds. Amenities Includes Gym, Exercise Room, Yoga Room, Lap Pool, 24Hr Concierge, Guest Suites, Party Room.""",https://www.realmaster.com/en/toronto-on/170-bayview-ave/1505-waterfront-communities-c8-TRBC4989308?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=108,"1505 170 Bayview Ave, Toronto, Ontario, M5A0M4"
1836,297 College St 721 | Apartment For Sale,C4961044,for sale,Residential Apartment,5,20201020,,,"999,900",2,2,1,900-999,Nw,Owned,Owned,791.25,"Stunning &amp; Luminous 2 Br 2 Bath Plus A Den Suite In Tribute's Boutique Condo, The College! Soaring 10 Ft Ceilings, Open Concept Allows Great Customization Of Living Space. Fabulous Kitchen W/Stainless Steel Appliances,Floor To Ceiling Windows,Just Under 1000 Sq City Market Groceries At Your Door Step. Amenities Include 24 Hr Concierge, Gym, Guest Suites, Theatre Room, &amp; More! Live In One Of The Most Sought-Out Neighbourhoods In Dt Toronto!Walking Distance Stove, Microwave &amp; Range, B/I Dishwasher, Washer &amp; Dryer.All Elfs""",https://www.realmaster.com/en/toronto-on/297-college-st/721-kensington-chinatown-TRBC4961044?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=108,"721 297 College St, Toronto, Ontario, M5T1S2"
1837,992 Woodbine Ave | House For Sale,E5066412,for sale,Residential House,,20201216,,,"1,994,900",4,5,2,,W,,,,"***Opportunity Knocks Renovated From Top To Bottom!!!***5 Units 4-1 Bed Room Units And 1-2 Bed Room!!!***Directly Across From Woodbine Subway Station!!!***Seller Or Agent Do Not Warrant Retrofit Status. """,https://www.realmaster.com/en/toronto-on/992-woodbine-ave/danforth-TRBE5066412?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=108,"992 Woodbine Ave, Toronto, Ontario, M4C 4B9"
1838,96 Northdale Rd | House For Sale,C4925960,for sale,Residential House,,20200924,,,"4,488,000",5,7,0,,N,,,,"European Chateau Inspired Estate-On Pie Shaped Lot Of Nearly 1 Acr. Utmost In Luxury! 8,065Sf Of Living Space &amp; Soaring 30' High Cathedral Ceil.W/Dramatic Overhead Skylight,Abundance Of Nat.Light.O/Concept Design.Gourmet.Kit.W/Centre Isld, Marble Counters, Multi.W/O's. Multi Fireplaces. Primary Bdrm W/Boudoir &amp; 6Pc Marble Ens &amp; Sun Deck. 5 Bdrs W/Ens.,W/Out Lower Level W/Gym,Games,Rec.4 Car Garage &amp; Circ.Dr. 2 New High Efficiency Furnaces See Attached Schedule B""",https://www.realmaster.com/en/toronto-on/96-northdale-rd/st-andrew-windfields-TRBC4925960?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=108,"96 Northdale Rd, Toronto, Ontario, M2L 2M1"
