,title,MLS ID,transaction_type,home_type,level,first day on market,last day on market,sold_price,list_price,bedrooms,bathrooms,den,sqft,exposure,parking,locker,maintanance fee,description,link,address
0,5 Northtown Way | Condo Apt For Sale,,for sale,Residential Condo Apt,3,20210116,,,"679,900",2,2,0,800-899,W,,,598,"Great Investment Property!!!! Luxury Tridel Condo with Functional Lay Out: 2 Bedrooms, 2 Bathrooms, *2 PARKING side by side &amp;1 locker*   Address: #305 - 5 Northtown Way, North York. Direct Access To 24 Hrs Metro, Retail Stores, Tons of Restaurants, Café and restaurants on Street Level, Short walking distance To Finch Subway, Viva, Go Bus, Parks, Community Centre.  Great Recreational Facilities: Tennis Courts, Virtual Golf, Ping Pong, Billiard, Game Room, Gym, Indoor Poor, Library, Party Room, Guest Room, Rooftop Garden, Sauna, Jogging Track and BBQ Area. LOW Maintenance Includes ALL Utilities: Heat, Hydro, CAC, Water. Lots of Visitor Parking.  Property is vacant, welcome to book showings anytime.  Please contact Anzi 647 505 5591 for more info. Thank you for your interest.  ***投资物业的首选*** - 豪华Tridel公寓：2卧室，2浴室，2个并排停车位!!!! 和1个储物室。公寓直通24小时营业超市，零售店，众多餐厅，街边咖啡馆，短途步行路程到地铁站， 巴士站，公园，社区中心。公寓设有 大型娱乐设施：网球场，虚拟高尔夫，乒乓球，台球，游戏室，健身房，室内游泳池，图书馆，宴会厅，宾客室，屋顶花园，桑拿浴室，慢跑跑道和烧烤区。 低管理费(管理费包括冷暖气和水电!!!!!!) 大量访客停车场。 单位空置， 欢迎随时看房。""",https://www.realmaster.com/en/toronto-on/5-northtown-way/RM1-36880?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=57,"5 Northtown Way, Toronto, Ontario, M2N7A1"
1,225 Sumach St | Condo Apt For Sale,,for sale,Residential Condo Apt,16,20210118,,,"729,000",2,2,0,800-899,SE,,,,"💥💥💥抄底捡漏💥💥💥 DuEast精品楼盘，现已交房，Corner户型，两面采光，近市中心大学校区， Dundas Square, 楼下有足球场，游泳馆，各种商铺，餐馆，绝对让你领略东区的全新现代完善社区。 2房，2卫，朝东南， 855平方尺+150平方尺阳台，15层以上，挥泪降价，只要$729,000，捡漏拼手快，速联！可以安排看房， 绝对是购买转楼花的最佳阶段。""",https://www.realmaster.com/en/toronto-on/225-sumach-st/RM1-36931?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=57,"225 Sumach St, Toronto, Ontario, M5A3K3"
2,17 Alexmuir Blvd | House For Sale,E5111765,for sale,Residential House,,20210211,,,"999,000",3,5,2,,E,,,,"Fatastic Location! Renovated Spacious Sidesplit House, Huge Backyard, 2 Garage Plus 3 Driveway Parkings, Open Concept For Living And Kitchen Area, S/S Appliances, Quartz Counter Top, Centre Island With Sink, Backsplash, Lots Of Carbinet, Pot Lights, Master 3Pc Ensuite, Finished 2 Br 2 Bath Basement With Sep/Entrance, 2 Laundry, Close To 24 Hr Ttc, Shopping Centre, School Main: S/S Fridge, S/S Stove, S/S Rangehood, S/S Dishwasher, Washer, A/C, Furnace, Elf, Window Covering Basement: Fridge, Stove, Rangehood, Washer""",https://www.realmaster.com/en/toronto-on/17-alexmuir-blvd/agincourt-north-TRBE5111765?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=57,"17 Alexmuir Blvd, Toronto, Ontario, M1V1J2"
3,252 Newton Dr | House For Sale,C5101835,for sale,Residential House,,20210202,,,"3,280,000",4,7,2,3500-5000,N,,,,"One-Of-A-Kind Brand Custom Built Nested In The Heart Of North York! Beautiful Lay Out,Expertly Crafted&amp;Lavishly Spent! 5900 Sqft Of Luxury Living, Chef Inspired Kitchen W/Top Of Line Appliances+Gas Cooktop+Island With Breakfast Area, Timeless &amp; Elegant Natural Stone Ext. Extensive Millwork T/O. Marble Flrs. Full Panelled Wall,Layerd Moulding.Priv. Mbdr Boasts Lux 6Pc Ens &amp; Walk-In.4 Large Ensuit At 2nd Level. Walk-Up L/L, Wet Bar W/ Wine Rm. S/S Appliances, Pantry W/Stove, Cameras, Coffered Ceiling, 2 Gas Fireplaces, 2 Skylights, Garage To The Main Floor, Lights Fixture, High Ceiling At Main And Second Floor.""",https://www.realmaster.com/en/toronto-on/252-newton-dr/newtonbrook-east-TRBC5101835?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=57,"252 Newton Dr, Toronto, Ontario, M2M2P4"
4,25 Bamboo Grve | House For Sale,C4987913,for sale,Residential House,,20201112,,,"2,880,000",4,4,0,,S,,,,"Perfectly Renovated Contemporary Family Home In Most Desirable Location In The Heart Of Denlow. Stunning Sunken Living Rm With Marble Flrs &amp; Floor To Ceiling Stone Fireplace. Dark Hardwood Flrs On Main Flr. Newer Designer Kitchen With Top Of The Line Appliances. Open Concept Family Rm &amp; Lovely Breakfast Area/Solarium With Walk Out To Garden. Renovated Bathrooms With Limestone &amp; Marble. Newer Appliances: Fridge, Gas Stove, Rangehood, Microwave, Dishwasher. Washer, Dryer. Inground Sprinkler System. Schools: Denlow Ps, Windfileds Jr High, York Mills Ci. Steps To Denlow School &amp; Banbury Community Centre.""",https://www.realmaster.com/en/toronto-on/25-bamboo-grve/banbury-don-mills-TRBC4987913?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=57,"25 Bamboo Grve, Toronto, Ontario, M3B2C6"
5,146 Strachan Ave | House For Sale,C5108044,for sale,Residential House,,20210208,,,"2,899,800",4,6,2,3000-3500,W,,,,"Newly Built - Nearly 4,500 Total Sqft Of Living Space Situated Just Steps From The World Renowned Trinity Bellwoods Park. A Downtown Oasis Spread Over 3 Stories W/ 10Ft Ceilings, 4 Bedrooms (Each W/ Ensuite Washroom) + 6 Total Washrooms + 2 Fireplaces. Modern Chefs Kitchen W/ Integrated Appliances, Gas Range, Quartz Counters + Walkout Rear Garden. Master Bedroom (Full Floor) W/ 2 Massive W/I Closets + 5Pc Ensuite + Fireplace + Walkout Terrace W/ Sunset Views! Live In The Epicentre Of Queen West + Trinity Bellwoods.. Steps To Cafe's, Restaurants, Shopping, Boutiques, Transit + More. Unbeatable Distribution Of Sqft Provides A Unique Opportunity To Own The Space And Location You've Always Wanted.""",https://www.realmaster.com/en/toronto-on/146-strachan-ave/trinity-bellwoods-TRBC5108044?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=57,"146 Strachan Ave, Toronto, Ontario, M6J2S9"
6,111 Bedford Rd | House For Sale,C5108002,for sale,Residential House,,20210208,,,"4,449,000",5,5,1,3000-3500,E,,,,"Total Dream Home In The Best Location In Yorkville. Soaring Ceilings. Fabulous Light. Elegantly Appointed Principal Rms With Fireplaces. A Cooks Kitchen Features Top Of The Line Appliances &amp; Walks-Out To A Deck. The Master Is Spectacular With Walk-In Closet, Ensuite &amp; Rooftop Deck. 5+1 Bdrms, Family Room W/Fireplace &amp; Balcony. Great Finished Lower Level W/Walk-Out To Carport. A Renovated Masterpiece With Over 4500 Sq Ft Of Finished Living Space. Magnificent Multiple Terraces Over 1100 Sqft Create A Malibu Lifestyle Perfect For Outdoor Entertaining In The Centre Of Yorkville - Canada's Most Convenient Urban Neighbourhood.""",https://www.realmaster.com/en/toronto-on/111-bedford-rd/annex-TRBC5108002?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=57,"111 Bedford Rd, Toronto, Ontario, M5R2K5"
7,305 Lonsdale Rd | House For Sale,C5108480,for sale,Residential House,,20210208,,,"2,679,000",4,3,0,,S,,,,"This Is A Nicely Updated Forest Hill Family Home. Elegant Principal Rooms Are Perfect For Entertaining. The Stylish Kitchen Is Outfitted With Stainless Appliances &amp; A Breakfast Area. The Summer Sunroom Has A W/O To A Large Deck &amp; Garden. A Sun Filled 2nd Level Great Rm Has A Wall Of South &amp; East Facing Windows, Cathedral Ceiling &amp; Fireplace. The Master Is A Generously Proportioned Sanctuary W/2 Closets. 3 Add'l Bdrms + Office Complete The Family Space. Good Pkg.Priv Dr. Just Steps To The Village, Best Schools, Transit, Shopping, This Is A Wonderful Home. Incls: Stainless Samsung Fridge, Stove, Hood, Washer, Dryer, Panasonic M/W, Miele Dishwasher. Some Electric Heat. Sunroom Not Heated.""",https://www.realmaster.com/en/toronto-on/305-lonsdale-rd/forest-hill-south-TRBC5108480?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=57,"305 Lonsdale Rd, Toronto, Ontario, M4V1X3"
8,10 Grace St | House For Sale,E5100768,for sale,Residential House,,20210201,,,"1,500,000",3,4,2,,N,,,,"Location! Location! Location! Attention Builders, Investors And/Or Moved-Up Buyers. Huge Lot 80Ft X 193Ft Detached Bungalow, 3 Bedroom Plus 2, W/O Separate Entrance Basement. Potential To Build 2 New Custom Built Detached Homes In The Trendy Custom Built Home Area. Close To Go Train, Ttc, Schools, Plaza And Other Amenities. 2 Fridges, 2 Stoves, Washer Dryer, All Existing Electrical Light Fixtures, All Existing Window Coverings""",https://www.realmaster.com/en/toronto-on/10-grace-st/eglinton-east-TRBE5100768?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=57,"10 Grace St, Toronto, Ontario, M1J2M4"
9,22 Truman Rd | House For Sale,C5108335,for sale,Residential House,,20210208,,,"10,890,000",5,8,1,5000+,N,,,,"Welcome To 22 Truman, Exquisite Custom Home Situated On A 300' Deep Lot. Pure Sophistication&amp;Luxury. Circular Driveway,Grand Foyer,Chef's Kitchen,Nanny Suites,Custom Handmade Iron Railings,Silk Drapes,Designer Wallpaper,Gym,Wet Bar,Professionally Lnscp. Bckyd Is Resort-Like W/ In-Ground Pool. Master Bdrm Has Balcony &amp; Ensuite Has Steam Sauna/Massaging. Impeccably Maintained &amp; No Details Overlooked. Theater &amp; Study Area In Bsmt. A True Paradise Living In City. B/I Duster, Charcoal Bbq, Gas Bbq, Silk Drapes, Crystal Chandeliers, Sprinkler System. B/I Dishwasher, Fridge, Oven And Gas Stove (Wolf). 9 Backyard Spot Lights. Sound System &amp; Intercom In Every Room. See Vitual Tour - Too Much To List.""",https://www.realmaster.com/en/toronto-on/22-truman-rd/st-andrew-windfields-TRBC5108335?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=57,"22 Truman Rd, Toronto, Ontario, M2L 2L5"
